Commodity,Date,Farm,Atlanta,Chicago,Los Angeles,New York
Green Leaf Lettuce,6/18/2017,$0.31 ,$1.65 ,$1.91 ,$1.44 ,$1.76 
Iceberg Lettuce,6/18/2017,$0.43 ,$1.24 ,$1.22 ,$1.39 ,$1.75 
Red Leaf Lettuce,6/18/2017,$0.31 ,$1.42 ,$1.98 ,$1.44 ,$1.92 
Romaine Lettuce,6/18/2017,$0.35 ,$1.89 ,$2.36 ,$1.44 ,$1.94 
Honeydews,6/18/2017,$2.16 ,$3.92 ,$3.24 ,$3.85 ,$4.49 
Flame Grapes,6/18/2017,$1.05 ,$2.02 ,$2.22 ,$1.74 ,$2.09 
Celery,6/18/2017,$0.70 ,$1.80 ,$1.96 ,$1.94 ,$2.54 
Cauliflower,6/18/2017,$1.20 ,$2.88 ,$2.89 ,$3.98 ,$4.04 
Carrots,6/18/2017,$0.26 ,$0.95 ,$0.82 ,$0.99 ,$1.32 
Broccoli Crowns,6/18/2017,$0.62 ,$2.04 ,$1.68 ,$1.94 ,$2.49 
Broccoli Bunches,6/18/2017,$0.55 ,$1.78 ,$1.41 ,$1.39 ,$1.23 
Avocados,6/18/2017,$1.07 ,$1.32 ,$1.68 ,$1.59 ,$1.72 
Strawberries,6/11/2017,$1.09 ,$2.20 ,$1.98 ,$2.49 ,$3.06 
Potatoes,6/11/2017,$1.00 ,$3.96 ,$4.07 ,$3.99 ,$5.22 
Plums,6/11/2017,$1.30 ,$1.99 ,$2.24 ,$1.66 ,$2.36 
Peaches,6/11/2017,$0.96 ,$1.69 ,$1.99 ,$1.99 ,$2.24 
Oranges,6/11/2017,$0.52 ,$1.61 ,$1.36 ,$1.62 ,$2.22 
Nectarines,6/11/2017,$0.88 ,$2.19 ,$2.36 ,$2.24 ,$2.36 
Red Leaf Lettuce,6/11/2017,$0.29 ,$1.56 ,$1.93 ,$1.39 ,$1.92 
Green Leaf Lettuce,6/11/2017,$0.29 ,$1.65 ,$1.83 ,$1.39 ,$1.87 
Romaine Lettuce,6/11/2017,$0.29 ,$1.89 ,$2.47 ,$1.39 ,$1.94 
Iceberg Lettuce,6/11/2017,$0.46 ,$1.24 ,$1.29 ,$1.44 ,$1.59 
Honeydews,6/11/2017,$1.83 ,$3.92 ,$3.49 ,$3.85 ,$4.49 
Flame Grapes,6/11/2017,$1.05 ,$2.37 ,$2.24 ,$1.99 ,$2.21 
Celery,6/11/2017,$0.69 ,$1.64 ,$2.62 ,$1.99 ,$2.41 
Cauliflower,6/11/2017,$1.31 ,$3.21 ,$2.81 ,$3.48 ,$3.99 
Carrots,6/11/2017,$0.26 ,$0.95 ,$0.82 ,$0.99 ,$1.07 
Cantaloupe,6/11/2017,$0.77 ,$3.29 ,$2.62 ,$2.19 ,$2.74 
Broccoli Crowns,6/11/2017,$0.53 ,$2.04 ,$1.89 ,$1.99 ,$2.14 
Broccoli Bunches,6/11/2017,$0.49 ,$1.61 ,$1.31 ,$1.39 ,$2.27 
Avocados,6/11/2017,$1.05 ,$1.32 ,$1.41 ,$1.62 ,$1.86 
Strawberries,6/4/2017,$1.22 ,$2.26 ,$1.99 ,$1.99 ,$2.31 
Potatoes,6/4/2017,$1.00 ,$3.96 ,$4.07 ,$3.99 ,$4.72 
Peaches,6/4/2017,$0.88 ,$2.49 ,$1.99 ,$2.16 ,$2.36 
Oranges,6/4/2017,$0.66 ,$1.62 ,$1.35 ,$1.49 ,$2.22 
Nectarines,6/4/2017,$0.88 ,$2.32 ,$2.11 ,$1.49 ,$2.16 
Red Leaf Lettuce,6/4/2017,$0.29 ,$1.42 ,$1.98 ,$1.39 ,$1.92 
Green Leaf Lettuce,6/4/2017,$0.29 ,$1.65 ,$1.91 ,$1.39 ,$1.76 
Romaine Lettuce,6/4/2017,$0.28 ,$1.49 ,$2.33 ,$1.39 ,$2.24 
Iceberg Lettuce,6/4/2017,$0.53 ,$1.24 ,$1.41 ,$1.44 ,$1.61 
Honeydews,6/4/2017,$1.58 ,$3.94 ,$3.37 ,$3.60 ,$4.24 
Flame Grapes,6/4/2017,$1.05 ,$1.85 ,$1.94 ,$1.87 ,$2.62 
Cauliflower,6/4/2017,$0.95 ,$3.21 ,$2.81 ,$3.48 ,$4.04 
Carrots,6/4/2017,$0.27 ,$0.95 ,$0.82 ,$0.99 ,$1.32 
Broccoli Crowns,6/4/2017,$0.51 ,$2.04 ,$1.74 ,$1.87 ,$2.49 
Broccoli Bunches,6/4/2017,$0.50 ,$1.61 ,$1.31 ,$1.39 ,$1.23 
Avocados,6/4/2017,$1.10 ,$1.39 ,$1.81 ,$1.75 ,$1.72 
Strawberries,5/28/2017,$1.00 ,$2.66 ,$2.24 ,$2.50 ,$2.86 
Potatoes,5/28/2017,$1.00 ,$3.96 ,$4.07 ,$3.99 ,$5.22 
Oranges,5/28/2017,$0.66 ,$1.49 ,$1.20 ,$1.34 ,$1.93 
Red Leaf Lettuce,5/28/2017,$0.29 ,$1.75 ,$1.79 ,$1.74 ,$1.82 
Green Leaf Lettuce,5/28/2017,$0.29 ,$1.65 ,$1.71 ,$1.74 ,$1.82 
Romaine Lettuce,5/28/2017,$0.28 ,$1.52 ,$2.29 ,$1.74 ,$2.30 
Iceberg Lettuce,5/28/2017,$0.51 ,$1.24 ,$1.79 ,$1.52 ,$1.94 
Honeydews,5/28/2017,$1.50 ,$3.27 ,$3.38 ,$3.56 ,$3.74 
Flame Grapes,5/28/2017,$1.11 ,$2.90 ,$1.50 ,$2.24 ,$2.81 
Celery,5/28/2017,$2.12 ,$1.54 ,$2.33 ,$2.12 ,$2.57 
Cauliflower,5/28/2017,$0.98 ,$3.44 ,$3.56 ,$4.98 ,$2.57 
Carrots,5/28/2017,$0.29 ,$0.95 ,$0.82 ,$0.99 ,$1.07 
Cantaloupe,5/28/2017,$0.60 ,$3.45 ,$2.06 ,$2.17 ,$2.56 
Broccoli Crowns,5/28/2017,$0.61 ,$2.04 ,$1.84 ,$2.14 ,$2.32 
Broccoli Bunches,5/28/2017,$0.59 ,$1.78 ,$1.84 ,$1.39 ,$1.84 
Avocados,5/28/2017,$1.07 ,$1.31 ,$1.77 ,$1.59 ,$2.09 
Strawberries,5/21/2017,$1.09 ,$1.98 ,$1.83 ,$2.68 ,$2.86 
Potatoes,5/21/2017,$1.00 ,$3.96 ,$4.07 ,$3.99 ,$5.22 
Oranges,5/21/2017,$0.64 ,$1.44 ,$1.20 ,$1.34 ,$1.93 
Red Leaf Lettuce,5/21/2017,$0.33 ,$1.85 ,$1.93 ,$1.44 ,$1.82 
Green Leaf Lettuce,5/21/2017,$0.33 ,$1.65 ,$1.83 ,$1.44 ,$1.82 
Romaine Lettuce,5/21/2017,$0.36 ,$1.39 ,$2.47 ,$1.44 ,$2.30 
Iceberg Lettuce,5/21/2017,$0.36 ,$1.24 ,$1.79 ,$1.39 ,$1.94 
Honeydews,5/21/2017,$1.00 ,$3.61 ,$3.38 ,$3.85 ,$3.74 
Flame Grapes,5/21/2017,$1.50 ,$2.22 ,$1.73 ,$2.24 ,$2.56 
Celery,5/21/2017,$2.22 ,$1.54 ,$2.33 ,$2.19 ,$2.57 
Cauliflower,5/21/2017,$1.00 ,$3.44 ,$3.56 ,$3.98 ,$4.05 
Carrots,5/21/2017,$0.29 ,$0.95 ,$0.82 ,$0.99 ,$1.07 
Cantaloupe,5/21/2017,$0.70 ,$3.32 ,$2.43 ,$2.69 ,$2.56 
Broccoli Crowns,5/21/2017,$0.73 ,$2.04 ,$1.85 ,$2.14 ,$2.22 
Broccoli Bunches,5/21/2017,$0.73 ,$1.78 ,$1.31 ,$1.79 ,$1.84 
Avocados,5/21/2017,$1.14 ,$1.31 ,$1.77 ,$1.75 ,$2.09 
Strawberries,5/14/2017,$0.94 ,$2.66 ,$1.81 ,$2.43 ,$3.06 
Potatoes,5/14/2017,$1.00 ,$3.96 ,$4.24 ,$3.99 ,$5.22 
Oranges,5/14/2017,$0.59 ,$1.23 ,$1.39 ,$1.42 ,$2.04 
Red Leaf Lettuce,5/14/2017,$0.35 ,$1.52 ,$1.98 ,$1.49 ,$1.82 
Green Leaf Lettuce,5/14/2017,$0.39 ,$1.75 ,$1.91 ,$1.49 ,$1.76 
Romaine Lettuce,5/14/2017,$0.40 ,$1.94 ,$1.41 ,$1.49 ,$2.39 
Iceberg Lettuce,5/14/2017,$0.61 ,$1.24 ,$1.79 ,$1.49 ,$2.19 
Cauliflower,5/14/2017,$1.20 ,$2.95 ,$3.06 ,$3.98 ,$3.79 
Carrots,5/14/2017,$0.29 ,$0.95 ,$0.89 ,$0.99 ,$1.07 
Cantaloupe,5/14/2017,$0.95 ,$2.07 ,$1.93 ,$2.98 ,$2.81 
Broccoli Crowns,5/14/2017,$1.12 ,$1.97 ,$1.68 ,$2.04 ,$2.22 
Broccoli Bunches,5/14/2017,$1.08 ,$1.61 ,$1.31 ,$1.79 ,$2.11 
Avocados,5/14/2017,$1.16 ,$1.31 ,$1.50 ,$1.75 ,$2.09 
Strawberries,5/7/2017,$0.96 ,$2.31 ,$1.81 ,$2.37 ,$2.86 
Potatoes,5/7/2017,$1.00 ,$3.37 ,$4.07 ,$3.99 ,$4.72 
Oranges,5/7/2017,$0.51 ,$1.07 ,$1.20 ,$1.29 ,$1.90 
Red Leaf Lettuce,5/7/2017,$0.45 ,$1.52 ,$1.93 ,$1.49 ,$1.92 
Green Leaf Lettuce,5/7/2017,$0.45 ,$1.52 ,$1.83 ,$1.49 ,$1.87 
Romaine Lettuce,5/7/2017,$0.45 ,$1.92 ,$2.47 ,$1.49 ,$2.24 
Iceberg Lettuce,5/7/2017,$0.44 ,$1.49 ,$1.79 ,$1.49 ,$2.06 
Celery,5/7/2017,$1.74 ,$1.54 ,$1.81 ,$1.94 ,$2.17 
Cauliflower,5/7/2017,$1.98 ,$2.95 ,$3.56 ,$3.98 ,$4.29 
Carrots,5/7/2017,$0.29 ,$0.95 ,$0.82 ,$0.99 ,$2.17 
Cantaloupe,5/7/2017,$1.04 ,$3.20 ,$2.65 ,$2.36 ,$2.81 
Broccoli Crowns,5/7/2017,$1.28 ,$1.97 ,$2.04 ,$1.94 ,$1.55 
Broccoli Bunches,5/7/2017,$1.12 ,$1.33 ,$1.31 ,$1.54 ,$1.84 
Avocados,5/7/2017,$1.16 ,$1.44 ,$1.65 ,$1.62 ,$1.80 
Asparagus,5/7/2017,$2.70 ,$3.75 ,$2.91 ,$4.49 ,$3.74 
Potatoes,4/30/2017,$1.00 ,$3.94 ,$3.99 ,$3.99 ,$4.72 
Strawberries,4/30/2017,$0.83 ,$2.74 ,$2.25 ,$2.25 ,$2.81 
Oranges,4/30/2017,$0.45 ,$1.20 ,$1.20 ,$1.12 ,$1.97 
Red Leaf Lettuce,4/30/2017,$0.52 ,$1.52 ,$1.98 ,$1.57 ,$2.52 
Green Leaf Lettuce,4/30/2017,$0.52 ,$1.55 ,$1.91 ,$1.49 ,$2.32 
Romaine Lettuce,4/30/2017,$0.52 ,$2.20 ,$2.36 ,$1.57 ,$2.86 
Iceberg Lettuce,4/30/2017,$0.66 ,$0.98 ,$1.66 ,$1.49 ,$2.19 
Celery,4/30/2017,$1.45 ,$1.51 ,$1.71 ,$1.97 ,$1.92 
Cauliflower,4/30/2017,$1.82 ,$3.17 ,$3.56 ,$3.98 ,$4.29 
Broccoli Crowns,4/30/2017,$0.69 ,$1.97 ,$2.00 ,$1.99 ,$2.58 
Broccoli Bunches,4/30/2017,$0.56 ,$1.60 ,$1.22 ,$1.79 ,$1.69 
Avocados,4/30/2017,$1.17 ,$1.07 ,$1.53 ,$1.44 ,$1.95 
Asparagus,4/30/2017,$2.87 ,$3.41 ,$3.28 ,$4.49 ,$3.98 
Strawberries,4/23/2017,$0.94 ,$2.43 ,$2.11 ,$2.74 ,$3.49 
Oranges,4/23/2017,$0.48 ,$1.25 ,$1.32 ,$1.06 ,$1.65 
Red Leaf Lettuce,4/23/2017,$1.16 ,$1.68 ,$1.93 ,$1.64 ,$2.42 
Green Leaf Lettuce,4/23/2017,$1.14 ,$1.85 ,$1.83 ,$1.64 ,$2.33 
Romaine Lettuce,4/23/2017,$0.88 ,$2.44 ,$2.40 ,$1.64 ,$2.79 
Iceberg Lettuce,4/23/2017,$1.71 ,$1.65 ,$1.54 ,$1.49 ,$1.89 
Celery,4/23/2017,$1.25 ,$1.41 ,$1.76 ,$1.72 ,$1.54 
Cauliflower,4/23/2017,$1.39 ,$3.42 ,$3.56 ,$4.28 ,$4.29 
Carrots,4/23/2017,$0.29 ,$0.95 ,$0.89 ,$0.99 ,$1.14 
Broccoli Crowns,4/23/2017,$0.51 ,$1.97 ,$2.22 ,$2.14 ,$2.58 
Avocados,4/23/2017,$1.17 ,$1.28 ,$1.77 ,$1.62 ,$2.09 
Asparagus,4/23/2017,$2.88 ,$3.32 ,$3.28 ,$3.99 ,$2.99 
Asparagus,4/16/2017,$2.69 ,$2.66 ,$2.78 ,$3.99 ,$3.25 
Strawberries,4/16/2017,$1.00 ,$2.99 ,$2.24 ,$2.25 ,$3.24 
Oranges,4/16/2017,$0.47 ,$1.73 ,$1.10 ,$1.04 ,$2.05 
Green Leaf Lettuce,4/16/2017,$2.08 ,$1.85 ,$2.26 ,$1.64 ,$2.22 
Red Leaf Lettuce,4/16/2017,$1.73 ,$1.68 ,$2.32 ,$1.64 ,$2.42 
Romaine Lettuce,4/16/2017,$1.82 ,$2.07 ,$2.31 ,$1.64 ,$2.79 
Iceberg Lettuce,4/16/2017,$1.87 ,$1.49 ,$1.92 ,$1.49 ,$1.94 
Celery,4/16/2017,$1.09 ,$1.43 ,$1.71 ,$1.97 ,$1.79 
Cauliflower,4/16/2017,$2.53 ,$3.78 ,$3.56 ,$4.28 ,$3.66 
Carrots,4/16/2017,$0.29 ,$0.95 ,$0.89 ,$0.99 ,$1.14 
Broccoli Crowns,4/16/2017,$0.93 ,$1.97 ,$1.93 ,$2.14 ,$2.13 
Broccoli Bunches,4/16/2017,$0.94 ,$1.60 ,$1.26 ,$1.79 ,$1.69 
Avocados,4/16/2017,$1.20 ,$1.39 ,$1.77 ,$1.59 ,$1.88 
Cauliflower,4/9/2017,$3.53 ,$3.42 ,$3.44 ,$3.88 ,$3.74 
Strawberries,4/9/2017,$1.15 ,$2.49 ,$2.50 ,$2.87 ,$3.61 
Oranges,4/9/2017,$0.43 ,$1.15 ,$1.20 ,$0.99 ,$1.84 
Red Leaf Lettuce,4/9/2017,$1.64 ,$1.58 ,$1.93 ,$1.64 ,$1.81 
Green Leaf Lettuce,4/9/2017,$2.14 ,$1.58 ,$1.83 ,$1.64 ,$1.74 
Romaine Lettuce,4/9/2017,$2.11 ,$2.11 ,$2.47 ,$1.64 ,$2.07 
Iceberg Lettuce,4/9/2017,$1.82 ,$1.24 ,$1.44 ,$1.49 ,$1.61 
Celery,4/9/2017,$0.92 ,$1.44 ,$1.71 ,$1.72 ,$1.79 
Carrots,4/9/2017,$0.29 ,$0.95 ,$0.82 ,$0.99 ,$1.13 
Broccoli Crowns,4/9/2017,$1.85 ,$1.97 ,$2.14 ,$2.14 ,$1.90 
Broccoli Bunches,4/9/2017,$1.54 ,$1.77 ,$1.30 ,$1.39 ,$1.69 
Avocados,4/9/2017,$1.14 ,$1.51 ,$1.67 ,$1.75 ,$2.09 
Asparagus,4/9/2017,$1.96 ,$2.81 ,$2.28 ,$3.49 ,$3.11 
Strawberries,4/2/2017,$1.69 ,$2.99 ,$2.61 ,$1.87 ,$3.32 
Oranges,4/2/2017,$0.43 ,$1.44 ,$1.17 ,$1.24 ,$1.84 
Red Leaf Lettuce,4/2/2017,$1.21 ,$1.58 ,$1.55 ,$1.49 ,$1.82 
Celery,4/2/2017,$0.84 ,$1.44 ,$1.61 ,$1.92 ,$1.72 
Green Leaf Lettuce,4/2/2017,$2.14 ,$1.58 ,$1.79 ,$1.49 ,$1.66 
Romaine Lettuce,4/2/2017,$2.09 ,$1.82 ,$2.02 ,$1.49 ,$2.07 
Iceberg Lettuce,4/2/2017,$1.41 ,$1.24 ,$1.44 ,$1.49 ,$1.61 
Cauliflower,4/2/2017,$3.39 ,$3.42 ,$3.56 ,$3.78 ,$3.99 
Carrots,4/2/2017,$0.29 ,$0.95 ,$0.82 ,$0.99 ,$1.24 
Asparagus,4/2/2017,$1.81 ,$2.81 ,$3.28 ,$3.49 ,$3.11 
Broccoli Crowns,4/2/2017,$1.73 ,$1.97 ,$1.86 ,$2.09 ,$1.90 
Broccoli Bunches,4/2/2017,$1.40 ,$1.78 ,$1.28 ,$1.39 ,$1.69 
Avocados,4/2/2017,$1.11 ,$1.43 ,$1.67 ,$1.75 ,$2.09 
Romaine Lettuce,3/26/2017,$1.82 ,$1.42 ,$1.97 ,$1.49 ,$2.16 
Strawberries,3/26/2017,$1.69 ,$2.74 ,$2.66 ,$2.87 ,$2.86 
Oranges,3/26/2017,$0.38 ,$1.25 ,$1.49 ,$1.24 ,$1.85 
Red Leaf Lettuce,3/26/2017,$0.86 ,$1.32 ,$1.57 ,$1.49 ,$1.82 
Green Leaf Lettuce,3/26/2017,$1.73 ,$1.32 ,$1.50 ,$1.49 ,$1.77 
Iceberg Lettuce,3/26/2017,$0.86 ,$0.94 ,$1.44 ,$1.49 ,$1.54 
Celery,3/26/2017,$0.82 ,$1.44 ,$1.56 ,$1.94 ,$1.67 
Cauliflower,3/26/2017,$2.49 ,$3.24 ,$3.49 ,$3.78 ,$3.65 
Carrots,3/26/2017,$0.29 ,$1.05 ,$0.82 ,$0.99 ,$1.14 
Broccoli Crowns,3/26/2017,$0.96 ,$2.31 ,$2.01 ,$2.09 ,$1.88 
Broccoli Bunches,3/26/2017,$1.13 ,$2.19 ,$1.01 ,$1.49 ,$1.69 
Avocados,3/26/2017,$1.06 ,$1.47 ,$1.60 ,$1.75 ,$2.04 
Asparagus,3/26/2017,$1.46 ,$2.66 ,$2.08 ,$2.99 ,$2.04 
Strawberries,3/19/2017,$1.59 ,$2.74 ,$2.66 ,$2.87 ,$2.86 
Romaine Lettuce,3/19/2017,$1.33 ,$1.42 ,$1.97 ,$1.49 ,$2.16 
Red Leaf Lettuce,3/19/2017,$0.60 ,$1.32 ,$1.57 ,$1.49 ,$1.82 
Oranges,3/19/2017,$0.22 ,$1.25 ,$1.49 ,$1.24 ,$1.85 
Iceberg Lettuce,3/19/2017,$0.72 ,$0.94 ,$1.44 ,$1.49 ,$1.54 
Green Leaf Lettuce,3/19/2017,$1.04 ,$1.32 ,$1.50 ,$1.49 ,$1.77 
Celery,3/19/2017,$0.61 ,$1.44 ,$1.56 ,$1.94 ,$1.67 
Cauliflower,3/19/2017,$3.31 ,$3.24 ,$3.49 ,$3.78 ,$3.65 
Carrots,3/19/2017,$0.29 ,$1.05 ,$0.82 ,$0.99 ,$1.14 
Broccoli Crowns,3/19/2017,$1.14 ,$2.31 ,$2.01 ,$2.09 ,$1.88 
Broccoli Bunches,3/19/2017,$0.97 ,$2.19 ,$1.01 ,$1.49 ,$1.69 
Avocados,3/19/2017,$1.10 ,$1.79 ,$2.00 ,$0.79 ,$1.28 
Strawberries,3/12/2017,$1.75 ,$2.57 ,$2.57 ,$3.24 ,$2.87 
Romaine Lettuce,3/12/2017,$0.99 ,$1.42 ,$1.86 ,$1.49 ,$2.07 
Red Leaf Lettuce,3/12/2017,$0.56 ,$1.32 ,$1.49 ,$1.49 ,$1.82 
Oranges,3/12/2017,$0.24 ,$1.45 ,$0.89 ,$1.12 ,$1.84 
Iceberg Lettuce,3/12/2017,$0.49 ,$1.04 ,$1.44 ,$1.44 ,$1.61 
Green Leaf Lettuce,3/12/2017,$0.70 ,$1.32 ,$1.45 ,$1.49 ,$1.66 
Celery,3/12/2017,$0.42 ,$1.44 ,$1.41 ,$1.89 ,$1.72 
Cauliflower,3/12/2017,$2.90 ,$3.24 ,$2.95 ,$3.48 ,$3.32 
Carrots,3/12/2017,$0.99 ,$0.95 ,$0.82 ,$0.99 ,$1.25 
Broccoli Crowns,3/12/2017,$1.40 ,$2.31 ,$1.66 ,$2.02 ,$1.83 
Avocados,3/12/2017,$1.10 ,$1.46 ,$1.60 ,$1.75 ,$1.95 
Strawberries,3/5/2017,$1.88 ,$2.49 ,$2.07 ,$3.21 ,$2.61 
Romaine Lettuce,3/5/2017,$0.72 ,$1.32 ,$1.97 ,$1.49 ,$1.97 
Red Leaf Lettuce,3/5/2017,$0.58 ,$1.42 ,$1.57 ,$1.49 ,$1.82 
Oranges,3/5/2017,$0.24 ,$1.14 ,$1.20 ,$1.24 ,$1.76 
Iceberg Lettuce,3/5/2017,$0.34 ,$1.16 ,$1.44 ,$1.12 ,$1.54 
Green Leaf Lettuce,3/5/2017,$0.60 ,$1.32 ,$1.50 ,$1.49 ,$1.77 
Celery,3/5/2017,$0.34 ,$1.52 ,$1.53 ,$1.67 ,$1.67 
Cauliflower,3/5/2017,$1.84 ,$2.45 ,$2.70 ,$3.48 ,$3.24 
Carrots,3/5/2017,$0.29 ,$0.95 ,$0.82 ,$0.99 ,$1.14 
Broccoli Crowns,3/5/2017,$1.14 ,$1.80 ,$1.76 ,$1.82 ,$1.88 
Avocados,3/5/2017,$1.11 ,$1.49 ,$1.62 ,$1.70 ,$1.91 
Romaine Lettuce,2/26/2017,$0.78 ,$1.42 ,$1.89 ,$1.49 ,$1.97 
Red Leaf Lettuce,2/26/2017,$0.60 ,$1.32 ,$1.86 ,$1.49 ,$1.82 
Oranges,2/26/2017,$0.24 ,$1.35 ,$1.00 ,$1.24 ,$1.45 
Iceberg Lettuce,2/26/2017,$0.47 ,$1.16 ,$1.44 ,$1.49 ,$1.61 
Green Leaf Lettuce,2/26/2017,$0.64 ,$1.32 ,$1.83 ,$1.49 ,$1.66 
Celery,2/26/2017,$0.34 ,$1.44 ,$1.61 ,$1.89 ,$1.67 
Cauliflower,2/26/2017,$1.64 ,$2.74 ,$2.58 ,$3.13 ,$3.49 
Carrots,2/26/2017,$0.29 ,$0.95 ,$0.82 ,$0.99 ,$1.15 
Broccoli Crowns,2/26/2017,$0.79 ,$1.80 ,$1.73 ,$1.87 ,$1.45 
Broccoli Bunches,2/26/2017,$0.56 ,$1.46 ,$1.19 ,$1.29 ,$1.63 
Avocados,2/26/2017,$1.11 ,$1.44 ,$1.67 ,$1.62 ,$1.62 
